1,Brazil,20,104,70,17,17,221,102,119,227,2.18,Winner,South America,FFFFFF00,FF0066CC,336,392
2,Germany,18,106,66,20,20,224,121,103,218,2.06,Winner,Europe,FFFFFFFF,FF000000,590,112
3,Italy,18,83,45,21,17,128,77,51,156,1.88,Winner,Europe,FF0066CC,FFFFFFFF,605,152
4,Argentina,16,77,42,14,21,131,84,47,140,1.82,Winner,South America,FF3399FF,FFFFFFFF,296,503
5,Spain,14,59,29,12,18,92,66,26,99,1.68,Winner,Europe,FFFF0A0A,FFFFFF00,538,161
6,England,14,62,26,20,16,79,56,23,98,1.58,Winner,Europe,FFFFFFFF,FFFF0A0A,548,106
7,France,14,59,28,12,19,106,71,35,96,1.63,Winner,Europe,FF0066CC,FFFF0A0A,561,132
8,Netherlands,10,50,27,12,11,86,48,38,93,1.86,Runner-up,Europe,FFFF8C00,FFFFFFFF,575,107
9,Uruguay,12,51,20,12,19,80,71,9,72,1.41,Winner,South America,FF3399FF,FFFFFFFF,329,491
10,Sweden,11,46,16,13,17,74,69,5,61,1.33,Runner-up,Europe,FFFFFF00,FF0066CC,607,72
11,Russia,10,40,17,8,15,66,47,19,59,1.48,Fourth place,Europe,FFFF0A0A,FF0066CC,863,72
12,Serbia,11,43,17,8,18,64,59,5,59,1.37,Fourth place,Europe,FFFF0A0A,FF0066CC,630,144
13,Mexico,15,53,14,14,25,57,92,-35,56,1.06,Quarter-finals,Central/North America,FF33CC00,FFFF0A0A,140,243
14,Belgium,12,41,14,9,18,52,66,-14,51,1.24,Fourth place,Europe,FFFF0A0A,FF000000,572,115
15,Poland,7,31,15,5,11,44,40,4,50,1.61,Third place,Europe,FFFF0A0A,FFFFFFFF,623,102
16,Hungary,9,32,15,3,14,87,57,30,48,1.5,Runner-up,Europe,FFFF0A0A,FFFFFFFF,623,129
17,Portugal,6,26,13,4,9,43,29,14,43,1.65,Third place,Europe,FFFF0A0A,FF33CC00,521,164
18,Czech Republic,9,33,12,5,16,47,49,-2,41,1.24,Runner-up,Europe,FFFF0A0A,FF0066CC,608,118
19,Austria,7,29,12,4,13,43,47,-4,40,1.38,Third place,Europe,FFFF0A0A,FFFFFFFF,606,126
20,Chile,9,33,11,7,15,40,49,-9,40,1.21,Third place,South America,FFFF0A0A,FFFFFFFF,266,471
21,Switzerland,10,33,11,6,16,45,59,-14,39,1.18,Quarter-finals,Europe,FFFF0A0A,FFFFFFFF,582,130
22,Paraguay,8,27,7,10,10,30,38,-8,31,1.15,Quarter-finals,South America,FFFF0A0A,FFFFFFFF,309,447
23,United States,10,33,8,6,19,37,62,-25,30,0.91,Third place,Central/North America,FFFFFFFF,FFFF0A0A,162,163
24,Romania,7,21,8,5,8,30,32,-2,29,1.38,Quarter-finals,Europe,FFFFFF00,FFFF0A0A,645,137
25,Denmark,4,16,8,2,6,27,24,3,26,1.63,Quarter-finals,Europe,FFFF0A0A,FFFFFFFF,588,92
26,South Korea,9,31,5,9,17,31,67,-36,24,0.77,Fourth place,Asia,FFFFFFFF,FFFF0A0A,1051,178
27,Croatia,4,16,7,2,7,21,17,4,23,1.44,Third place,Europe,FFFF0A0A,FFFFFFFF,639,169
28,Colombia,5,18,7,2,9,26,27,-1,23,1.28,Quarter-finals,South America,FFFFFF00,FFFF0A0A,245,327
29,Costa Rica,4,15,5,4,6,17,23,-6,19,1.27,Quarter-finals,Central/North America,FF0066CC,FFFFFFFF,198,297
30,Scotland,8,23,4,7,12,25,41,-16,19,0.83,First round,Europe,FF0066CC,FFFFFFFF,542,90
31,Cameroon,7,23,4,7,12,18,43,-25,19,0.83,Quarter-finals,Africa,FF33CC00,FFFF0A0A,599,319
32,Nigeria,5,18,5,3,10,20,26,-6,18,1,Second round,Africa,FF33CC00,FFFFFFFF,580,299
33,Bulgaria,7,26,3,8,15,22,53,-31,17,0.65,Fourth place,Europe,FF33CC00,FFFF0A0A,647,150
